specialty,product-cat,caption,price,description,weight,vendor,order_date,expiry_date,quantity,unit_cost,total_cost
Misc Products,Brush,Twisted-Wire Surgical Instrument Lumen Cleaning Brushes,120,"High-Quality ConstructionOurÂ twisted-wire cleaning brushesÂ feature a robust design, ensuri..",0.000497512,Poly Medicure,5/3/2024,5/3/2028,35,12,420
Anesthesia Equipment,Laryngoscope,Fiber Optic LED Laryngoscope Set Miller,6720,Stainless Steel blades with removable LED lamp            Handle & Blades are made of stainless ..,0.00199005,Tynor Orthotics,1/2/2023,1/2/2026,12,672,8064
Lab Plasticware,Micropipettes and Tips,Micropipette Variable Volume,849,High accuracy and performance.Click stop digital system.Easy calibration and maintenance.Separate st..,0.000497512,Wockhardt Limited,23/10/2022,23/10/2026,46,84.9,3905.4
Disposables,Urology,Romsons Foley Trac 2-Way Foleyâ€™s Balloon Catheter (Pack of 50 Pcs.),1954.4,"2-Way Foleyâ€™s Balloon Catheter.Made up of latex bonded with silicone elastomer.Coned, soft closed ti..",0.000497512,HI-TECH LAB PRODUCTS,27/10/2024,27/10/2028,19,195.44,3713.36
Surgery,Forceps,Tungsten Carbide (TC) DeBakey Needle Holder,1899,"Tungsten Carbide (TC) DeBakey Needle HolderSKUSize965806""965817""965828""..",0.001492537,Intersurgical,22/10/2024,22/10/2028,50,189.9,9495
Radiology Aid,Thyroid Collar/Shield,"X-Ray Thyroid Collar, Lead Equivalency 0.50mm (BARC Approved)",799,Product Specification:This thyroid collar provide protection for the neck and thyroid area from radi..,0.000497512,Baxter,7/8/2023,7/8/2027,14,79.9,1118.6
General,Height & Weight Scales,"Baby Weighing Scale, Salter Type (Dial), Metal Body With Trouser",1099,"Accurate and Reliable, Portable for Easy useWith two metal suspension hooksÂ Material: Metal Bod..",0.00199005,Poly Medicure,27/05/2024,27/05/2027,40,109.9,4396
Ortho Aid,Walkers,"Walker, Non-Folding, Aluminium",2506.35,"Specifications :        Light weight anodized,  polished aluminium tubular construction.        ..",0.000497512,Integra,25/09/2024,25/09/2028,18,250.635,4511.43
Ortho Instruments,Plier,Orthopedic TC Wire Cutter Cum Plier,5992,"TC Wire Cutter Cum PlierMaterial : Stainless SteelSKUSize359587""359598""..",0.000497512,Bard,10/1/2025,10/1/2029,30,599.2,17976
Radiology Aid,Lead Aprons,StPbÂ® Full Protection - Full Over Lap (Wrap Around Lead Vest & Skirt),14000,A two piece garment consisting of a vest to protect the upper torso front and back and an overlappin..,0.000497512,Hindustan Syringes,12/2/2025,12/2/2029,33,1400,46200
Surgery,Retractor,Langenbeck Retractor,224,"Item Code    Size    97025    Small    97026    Medium (Blade Size: 2"") (Length: 8"")      97027  Lar..",0.001492537,Johnson & Johnson,12/2/2025,12/2/2029,44,22.4,985.6
Surgery,Forceps,Ryder Needle Holder 8â€,520,Ryder Needle Holder 8â€Crafted from premium quality stainless steel with a satin finish to minimize g..,0.001492537,Bard,2/7/2023,2/7/2027,45,52,2340
Surgery,Forceps,Collin Tongue Holding Forceps,779,Stainless SteelReusablePremium Grade..,0.001492537,HI-TECH LAB PRODUCTS,30/03/2024,30/03/2028,15,77.9,1168.5
Monitor,BP Monitor,"Sphygmomanometer, Aneroid Type (Black)",628.32,"Sphygmomanometer, Aneroid Type (Black)With dial reading upto 300mm/hg.Complete inflation sys..",0.000995025,Abbott,25/03/2023,25/03/2027,22,62.832,1382.304
Surgery,Forceps,Artery Forceps (Straight),339,"Size: 5"", 6"", 8"", 10"" & 12""Artery Forceps, Clamps and SnapsForgings from stainless steelSilk mat..",0.001492537,M/S IMADE TECHNOLOGY PRIVATE LIMITED,1/12/2023,1/12/2027,6,33.9,203.4
Urology,Catheter,Silicone Foley catheter,345,16Fr 30cc,0.000497512,GPC Medical,12/8/2022,12/8/2026,24,34.5,828
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,799,Silicone Artificial Resuscitator (Ambu Type Bag) Child,0.00199005,Olympus,23/07/2022,23/07/2025,29,79.9,2317.1
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 1",196,"Anaesthesia Face Mask, Size 1            Made from silicon (green)Size: 1        Round Shape..",0.00199005,Romsons Group Of Industries,6/11/2024,6/11/2027,48,19.6,940.8
Surgery,Retractor,Cloward Spreader,6259,Product SpecificationsDesign: Features narrow prongs for ideal retraction of small incisions.Control..,0.001492537,Lotus Surgicals,10/4/2023,10/4/2027,48,625.9,30043.2
Surgery,Retractor,"Pozzi Abdominal Retractor 2.5""",2849,General Overview: The Pozzi Abdominal Retractor is a high-quality surgical instrument designed to pr..,0.001492537,GE Healthcare,8/6/2022,8/6/2026,41,284.9,11680.9
General,Cylinder,Portable Oxygen Cylinder 6 liters,800.8,Oxygen for personal use comes packaged in a 500 ml OXY99 can comprising of 6 liters of oxygen. Now t..,0.00199005,SISCO ,30/01/2023,30/01/2026,20,80.08,1601.6
Laparoscopic Instrument,Graspers,Semi Rigid Grasper Forcep,2699,Semi Rigid Grasper Forcep..,0.000497512,HI-TECH LAB PRODUCTS,17/11/2023,17/11/2027,13,269.9,3508.7
Anesthesia Equipment,Laryngoscope,Laryngoscope LED Bulb/Lamp,40,Laryngoscope LED Bulb/Lamp..,0.00199005,CDR MEDICAL INDUSTRIES,25/07/2022,25/07/2025,4,4,16
Anesthesia Equipment,Laryngoscope,IndoSurgicals Disposable Miller Type Fiber Optic Laryngoscope (Pack of 1 Blade & 1 Handle),700,High-Quality Fiber Optic Blades: The laryngoscope features fiber optic blades that provide bright an..,0.00199005,GE Healthcare,2/6/2023,2/6/2026,6,70,420
Surgery,Retractor,Charnley Initial Incision Hip Retractor,3949,Stainless SteelReusablePremium Grade..,0.001492537,KLS Martin India,23/04/2022,23/04/2026,30,394.9,11847
General,Cylinder,Flow Meter with Humidifier Bottle,1699,Flow Meter with Humidifier Bottle..,0.00199005,Romsons Group Of Industries,20/06/2022,20/06/2025,24,169.9,4077.6
Misc Products,Destroyer,Instant Needle Burner & Syringe Destroyer,2125,Syringe & Needle Destroyer is electrically operated equipment helps to destroyer/melt the needle..,0.000497512,3M India,27/09/2023,27/09/2027,41,212.5,8712.5
Laparoscopic Instrument,Dissectors,Maryland Dissector 5mm,2049,SKUType93451Short93452Medium93453Long..,0.000497512,Boston Scientific,6/10/2024,6/10/2028,36,204.9,7376.4
Radiology Aid,Lead Aprons,StPbÂ® Full Protection - Partial Over Lap (Wrap Around Lead Apron),11760,These special procedure one piece Lead Aprons have been designed to partially overlap at the front. ..,0.000497512,B. Braun,5/8/2024,5/8/2028,27,1176,31752
Surgery,Forceps,Tungsten Carbide (TC) DeBakey Needle Holder,1899,"Tungsten Carbide (TC) DeBakey Needle HolderSKUSize965806""965817""965828""..",0.001492537,Ben Franklin Opticians,8/2/2024,8/2/2028,43,189.9,8165.7
Linen,Hospital Bed Sheets,Casement Cotton Hospital Bed Sheet,493.5,Size: 56 inch x 90 inchPremium 100% Casement cotton single bed sheetPack Contains one single bed bed..,0.000497512,Braun Medical India,8/5/2024,8/5/2028,7,49.35,345.45
Surgery,Forceps,Liga Clip Applicator,2499,Liga Clip Applicator â€“ Precision & Reliability in Surgical ProceduresThe Liga Clip Applicator is..,0.001492537,Bard,25/10/2022,25/10/2026,36,249.9,8996.4
Surgery,Scissors,Cuticle Scissors (Straight),199,"Cuticle Scissors (Straight)Size approx. : 4""..",0.001492537,Rama Surgical House,22/12/2023,22/12/2027,28,19.9,557.2
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Macintosh (Deluxe Quality),2769.98,Stainless Steel blades with removable LED lamp            Handle & Blades are made of stainless ..,0.00199005,Narang,21/04/2022,21/04/2025,38,276.998,10525.924
Surgery,Forceps,Green Armytage Forceps,509,Made by quality stainless steelLength of forceps is 8.25 InchThe forceps are available in straightTh..,0.001492537,Max Healthcare Institute Limited,11/5/2024,11/5/2028,32,50.9,1628.8
General,Cylinder,Emergency Oxygen Cylinder Kit,8260,Emergency Use.It is Handy and Portable.At the time of shifting patient to the Hospital and Home Use...,0.00199005,Lotus Surgicals,23/05/2022,23/05/2025,28,826,23128
Ortho Instruments,Saw,Oscillating Saw For Joint Operation,50288,Oscillating Saw For Joint Operation,0.000497512,Thyrocare Technologies Limited,9/9/2024,9/9/2028,10,5028.8,50288
Surgery,Instrument Kit,Appendectomy Instrument Kit,7392,Appendectomy Instrument Kit Containing Following Items:-    S. No.Name of Items    Qty...,0.001492537,Hindustan Surgical,3/1/2024,3/1/2028,40,739.2,29568
Hollowware,Catheter Instrument Tray,Catheter Tray,369.6,"Stainless steelWith coverItem Code    Size    70201    8 x 3 x 1.5"" (L x W x H)    70202    16 x 4 x..",0.000497512,Opto Circuits India Limited,17/07/2023,17/07/2027,26,36.96,960.96
OB/GYN Instruments,OB/GYN,Wrigley Obstetrical Forceps,1249,Wrigley Obstetrical ForcepsGrasping ForcepsMaterial: Stainless Steel..,0.000497512,GPC Medical,15/09/2024,15/09/2028,13,124.9,1623.7
Anesthesia Equipment,Oxygen Cylinder & Regulators,Oxygen Regulator with Pressure Gauge,849,Oxygen Regulator with Pressure Gauge..,0.00199005,Becton Dickinson,12/2/2023,12/2/2026,41,84.9,3480.9
Surgery,Suction Units Portable,Suction Unit - ABS (20 Ltrs./Min),8960,Housing : Complete ABS  (Plastic)Jars : Polycarbonate 1000ml  capacityOverflow Protection : Mechanic..,0.001492537,Lotus Surgicals,27/10/2024,27/10/2028,20,896,17920
Surgery,Forceps,Olsen Hegar Needle Holder with Scissor,475,Olsen Hegar Needle Holder with Scissor..,0.001492537,Gesco Healthcare,22/03/2023,22/03/2027,32,47.5,1520
Surgery,Forceps,Dissecting Forceps Plain,199,"Item Code    Size  94300    4""  94301    5""  94302    6""  94303    7""94304    8""  94305    10""  9430..",0.001492537,Lotus Surgicals,3/10/2023,3/10/2027,29,19.9,577.1
Anesthesia Equipment,Laryngoscope,IndoSurgicals Disposable Miller Type Fiber Optic Laryngoscope (Pack of 1 Blade & 1 Handle),700,High-Quality Fiber Optic Blades: The laryngoscope features fiber optic blades that provide bright an..,0.00199005,Narang,8/10/2023,8/10/2026,32,70,2240
Surgery,Scissors,Knapp Iris Scissors (Curved),199,Knapp Iris Scissors (Curved)..,0.001492537,Rama Surgical House,9/5/2022,9/5/2026,36,19.9,716.4
Surgery,Suction Units Manual,Foot Suction Unit - Plastic,8008,"Housing: Plastic MouldedCapacity: -600 mm Hg Â± 10 , 200 ml / StrokePump Type: Piston PumpJars: 1 x 1..",0.001492537,Integra,15/02/2025,15/02/2029,42,800.8,33633.6
Disposables,Urology,Romsons Urometer Urine Collecting Bag with Measured Volume Chamber,120.75,Urine Bag with Measured Volume Chamber.Graduated meter for accurate measurement of the urine output...,0.000497512,GPC Medical,30/06/2024,30/06/2028,20,12.075,241.5
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bags - Green Rubber, 1 Litre",168,Rebreathing Bags - Green Rubber                Capacity : 1Litre..,0.00199005,AJMERA BIO-MEDICAL ENGINEERS,14/05/2024,14/05/2027,2,16.8,33.6
Surgery,Scissors,Episiotomy Scissors,459,Episiotomy Scissors..,0.001492537,Becton Dickinson,2/8/2022,2/8/2026,23,45.9,1055.7
General,Stethoscope,DulcetÂ® Paediatric/Neonatal Stethoscope,1299,"Solid Stainless Steel Chest Piece.
		High Acoustic Sensitivity.
		Brass Chrome Plated Metal Ring.
..",0.00199005,Terumo,20/08/2023,20/08/2026,12,129.9,1558.8
Lab Plasticware,Conical Measures,Conical Measures,359.9,These Conical Measures are very good for measuring small quantities of reagent. Moulded in Polypropy..,0.000497512,Romsons Group Of Industries,8/3/2024,8/3/2028,9,35.99,323.91
General,Stethoscope,IndoSurgicals Silvery III Stethoscope,1599,Double sided technology diaphragm retaining rims for patient comfort.Ultra-sensitive diaphragm for g..,0.00199005,SISCO ,20/10/2022,20/10/2025,35,159.9,5596.5
Surgery,Suction Units Manual,Hand Held Suction Unit,4838.4,You can also buy this product from our Amazon store.Buy NowHousingPlastic MouldedMax. Vacuum / LPM45..,0.001492537,Tynor Orthotics,10/5/2023,10/5/2027,31,483.84,14999.04
Furniture,Hospital Beds,"ICU Bed, Electric with ABS Panel and Aluminium Safety Rails",111651.6,Frame work made of  rectangular M.S. tube perforated CRC sheet top in four secti..,0.000497512,Delux Surgical,21/04/2024,21/04/2028,18,11165.16,200972.88
General,Stethoscope,IndoSurgicals Silvery II-SS Stethoscope (Free Engraving),1199,Product Details:Machined stainless steel chest piece.Double sided chest piece technology.Diaphragm D..,0.00199005,GE Healthcare,7/3/2025,7/3/2028,39,119.9,4676.1
Surgery,Scalpel,B.P. Handle (Scalpel Handle) No. 10,224,"B.P. Handle (Scalpel Handle) No. 10, stainless steel",0.001492537,Apollo Hospitals Enterprise Limited,26/11/2024,26/11/2028,13,22.4,291.2
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 4",224,"Anaesthesia Face Mask, Size 4            Made from silicon (green)Size:4..",0.00199005,Braun Medical India,23/04/2023,23/04/2026,38,22.4,851.2
General,Cylinder,Oxygen Cylinder 46.7 Ltrs.,16614.4,"Empty Oxygen Cylinder, Water capacity 46.7 Litre.Supplied with F A Valve with Flowmeter and Pressure..",0.00199005,Wockhardt Limited,5/5/2022,5/5/2025,31,1661.44,51504.64
Surgery,Scissors,Knapp Iris Scissors (Curved),199,Knapp Iris Scissors (Curved)..,0.001492537,CDR MEDICAL INDUSTRIES,18/12/2022,18/12/2026,43,19.9,855.7
Surgery,Instrument Kit,ENT Instrument Kit,3360,You can also buy this product from our Amazon store.Buy Now    ENT Instrument Kit Contains..,0.001492537,Baxter,20/03/2025,20/03/2029,16,336,5376
Opthalmology Instruments,Forceps,Ayer Chalazion Forceps,599,Stainless SteelReusablePremium Grade..,0.000497512,Narang,6/2/2024,6/2/2028,14,59.9,838.6
Surgery,Retractor,Jolls Retractor,3329,Jolls Retractor..,0.001492537,Fortis Healthcare Limited,1/7/2023,1/7/2027,12,332.9,3994.8
Ortho Aid,Wrist & Elbow Splints,Frog Splint,198.45,"Size :        Small, Medium, Large        Specifications :        Foam padded aluminium  splint in u..",0.000497512,Medtronic,14/04/2022,14/04/2026,45,19.845,893.025
Anesthesia Equipment,Nebulizer Face Mask,Nebulizer Face Mask Kit for Adults,199,"Compatible with most standard nebulizer kits.Reusable mask, must only be hand washed.Soft anatomical..",0.00199005,Siemens Healthineers,22/04/2022,22/04/2025,23,19.9,457.7
Sterilizers,Non-Electric Autoclave,"Autoclave (40 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",12799,"Mirror Finish, Non-Electric (External Fuel Heated)Approx. Size (Dia. X H): 350mm X 330mm + 90mm Lid...",0.000995025,Stryker,10/2/2023,10/2/2026,17,1279.9,21758.3
Lab Equipment,Laboratory Incubators,Laboratory Incubator Universal Type 91 Ltrs Aluminium Chambers,29030.4,Temperature  Thermostatically controlled by hydraulic thermostat 5ÂºC above ambient to 70ÂºC  with a s..,0.000497512,Tynor Orthotics,20/05/2023,20/05/2027,36,2903.04,104509.44
Rubber Products,Enema Syringes,Enema Syringes Higginson,239,"Enema Syringe Higginson, in Red Colour with Rectal Nozzle & ValveMade up of red rubber and are a..",0.000497512,Integra,16/03/2024,16/03/2028,36,23.9,860.4
Lab Plasticware,Racks & Stands,Nestler Cylinder Stand (Pack of 6 Pcs.),1269.68,"This stand, as the name suggests, is used for keeping nestler cylinders. Made of polypropylene, this..",0.000497512,Olympus,16/03/2025,16/03/2029,34,126.968,4316.912
Lab Equipment,Laboratory Incubators,Laboratory Incubator with Perfect System 91 Ltrs,70862.4,Laboratory  Incubator with Perfect System                             In this system there  is one..,0.000497512,Romsons,28/05/2022,28/05/2026,22,7086.24,155897.28
Surgery,Forceps,Tungsten Carbide (TC) Mayo Hegar Needle Holder,1899,"Tungsten Carbide (TC) Mayo Hegar Needle HolderSize approx. 6""SKUSize965706""965717""965728""..",0.001492537,Thyrocare Technologies Limited,29/07/2024,29/07/2028,50,189.9,9495
Surgery,Instrument Kit,ICD Set,3808,ICD InstrumentsÂ Set Containing Following Items:-    S.No.Name of Items    Qty.   ..,0.001492537,Siemens Healthineers,7/8/2024,7/8/2028,12,380.8,4569.6
Radiology Aid,Radiation Protection Head Shield,X-Ray Lead Cap (BARC Approved) - Lead Vinyl Core,840,The Lead Cap is a radiation protection accessoryÂ designed to protect the head against exposure ..,0.000497512,Poly Medicure,5/12/2023,5/12/2027,22,84,1848
Surgery,Instrument Kit,Bilateral Tubal Ligation Instrument Set (BTL Set),12992,Bilateral Tubal Ligation Instrument Set (BTL Set) Containing Following Items:-    S. No.Name..,0.001492537,Medtronic,15/03/2025,15/03/2029,37,1299.2,48070.4
Cardiothoracic Instrument,Forceps,DeBakey Satinsky Forceps,2269,"Stainless SteelReusablePremium GradeSKUSize933706""933718""9337210""..",0.001492537,Becton Dickinson,21/12/2022,21/12/2026,39,226.9,8849.1
Lab Plasticware,Lab Containers,Stool Container (100 Pcs.),1309.8,"These containers, as name suggests are used for collecting stool samples. The cap is provided with a..",0.000497512,Reckitt Benckiser,11/9/2024,11/9/2028,47,130.98,6156.06
Spine Surgery,Forceps,Disc Punch Forceps (Serrated) Straight,3499,Stainless SteelReusablePremium Grade,0.000497512,Ambu,18/09/2024,18/09/2028,15,349.9,5248.5
Surgery,Retractor,Mollison Mastoid Retractor,2019,"Item Code    Size    97030    5.5""    97031    6.5""      97032  7.5""..",0.001492537,Cook India,1/1/2024,1/1/2028,8,201.9,1615.2
Surgery,Forceps,Cheatle Forceps,429,Instrument Type : Sterilization ForcepsMaterial : Stainless SteelWorking Surface Style : SerratedDis..,0.001492537,Romsons Group Of Industries,10/4/2022,10/4/2026,29,42.9,1244.1
Gastroenterology Instruments,Rectal Speculum,Alan-Parks Rectal Speculum,5099,Alan-Parks Rectal Speculum,0.000497512,Olympus,16/10/2022,16/10/2026,11,509.9,5608.9
Lab Plasticware,Funnels,Buchner Funnel,1145.78,"Moulded in Polypropylene, these two piece funnels are light weight, easy to clean & autoclavable..",0.000497512,Romsons,10/9/2023,10/9/2027,42,114.578,4812.276
Surgery,Scissors,"Tungsten Carbide (TC) Metzenbaum Scissor, Straight",1899,"Tungsten Carbide (TC) Metzenbaum Scissor, StraightSKUSize941106""941117""941128""..",0.001492537,Abbott,30/03/2023,30/03/2027,7,189.9,1329.3
Surgery,Instrument Kit,Nasal Instruments Kit,5656,Nasal Instruments KitPack of 21 InstrumentsStainless SteelReusableS. No.Name of ItemsQty.1B.P Ha..,0.001492537,Olympus,31/10/2023,31/10/2027,27,565.6,15271.2
Linen,Disposable Gloves,"Surgical Gloves Latex, Sterile (Pack of 50 Pairs)",893.76,"DisposableMade from latexSterile.Disposable, for single use only.Slightly Powdered.Pa..",0.000497512,Tynor Orthotics,22/10/2023,22/10/2027,29,89.376,2591.904
General,Cylinder,Flow Meter with Humidifier Bottle,1699,Flow Meter with Humidifier Bottle..,0.00199005,HI-TECH LAB PRODUCTS,30/04/2023,30/04/2026,41,169.9,6965.9
Surgery,Suction Units Manual,Hand Held Suction Unit,4838.4,You can also buy this product from our Amazon store.Buy NowHousingPlastic MouldedMax. Vacuum / LPM45..,0.001492537,ACCURATE MACHINES,3/11/2022,3/11/2026,7,483.84,3386.88
Surgery,Instrument Kit,Laparotomy Instruments Kit (Pediatric),8799,Laparotomy Pediatric Instruments KitPack of 25 InstrumentsStainless SteelReusableS. No.Name of Items..,0.001492537,B. Braun,5/4/2022,5/4/2026,44,879.9,38715.6
